userIndex,fakeShareSusceptibility,realShareSusceptibility,fakeReceiveSusceptibility,realReceiveSusceptibility,fakeNewsShared,realNewsShared,totalNewsShared,followerCount,followingCount,meanAnger,meanDisgust,meanSadness,meanFear,meanJoy,meanNeutral,meanSurprise,maxSpreadDist,influence,exposure,avNeighbourRealShareSusceptibility,avNeighbourFakeShareSusceptibility
1,0.0,1.0,0.0,0.0,0,1,1,4,0,0.058833610266447,0.0733129754662513,0.160301849246025,0.0401951931416988,0.02480991743505,0.5676683187484741,0.0748781412839889,,,,,
2,1.0,0.0,0.48,0.52,1,0,1,87,68,0.082957275211811,0.0628888309001922,0.1234733685851097,0.1634928733110427,0.0278069395571947,0.4538232982158661,0.0855573490262031,,,,,
3,1.0,0.0,0.0,0.0,2,0,2,1,0,0.078349694609642,0.0938119851052761,0.197292186319828,0.0801755534484982,0.0299410754814744,0.4415670186281204,0.0788624472916126,,,,,
4,1.0,0.0,0.5,0.5,1,0,1,681,704,0.0546213686466217,0.0547354631125927,0.0478571467101573,0.0256769116967916,0.0208003465086221,0.7560481429100037,0.040260586887598,,,,,
5,0.0,1.0,0.0,1.0,0,1,1,3,1,0.058833610266447,0.0733129754662513,0.160301849246025,0.0401951931416988,0.02480991743505,0.5676683187484741,0.0748781412839889,,,,,
6,0.0,1.0,0.68,0.32,0,1,1,46,15,0.058833610266447,0.0733129754662513,0.160301849246025,0.0401951931416988,0.02480991743505,0.5676683187484741,0.0748781412839889,,,,,
7,0.0,1.0,0.33,0.67,0,1,1,12,3,0.058833610266447,0.0733129754662513,0.160301849246025,0.0401951931416988,0.02480991743505,0.5676683187484741,0.0748781412839889,,,,,
8,0.0,1.0,0.0,0.0,0,1,1,5,0,0.058833610266447,0.0733129754662513,0.160301849246025,0.0401951931416988,0.02480991743505,0.5676683187484741,0.0748781412839889,,,,,
9,1.0,0.0,0.58,0.42,1,0,1,28,108,0.0469200201332569,0.0354611612856388,0.0462436452507972,0.0249282456934452,0.027491346001625,0.7693516612052917,0.0496038906276226,,,,,
10,1.0,0.0,0.52,0.48,3,0,3,120,102,0.0629253300527731,0.0693330752352873,0.074223971615235,0.056304605367283,0.024319055955857,0.6614977320035299,0.0513962109883626,,,,,
11,1.0,0.0,0.0,0.0,1,0,1,5,0,0.0469200201332569,0.0354611612856388,0.0462436452507972,0.0249282456934452,0.027491346001625,0.7693516612052917,0.0496038906276226,,,,,
12,1.0,0.0,0.5,0.5,1,0,1,18,4,0.0825480744242668,0.0540545284748077,0.0932479277253151,0.0784500762820243,0.0241610184311866,0.6064150333404541,0.0611233860254287,,,,,
13,1.0,0.0,0.0,0.0,1,0,1,14,0,0.0546213686466217,0.0547354631125927,0.0478571467101573,0.0256769116967916,0.0208003465086221,0.7560481429100037,0.040260586887598,,,,,
14,1.0,0.0,0.52,0.48,1,0,1,182,115,0.0469200201332569,0.0354611612856388,0.0462436452507972,0.0249282456934452,0.027491346001625,0.7693516612052917,0.0496038906276226,,,,,
